,PlanetIdentifier,TypeFlag,PlanetaryMassJpt,RadiusJpt,PeriodDays,SemiMajorAxisAU,Eccentricity,PeriastronDeg,LongitudeDeg,AscendingNodeDeg,InclinationDeg,SurfaceTempK,AgeGyr,DiscoveryMethod,DiscoveryYear,LastUpdated,RightAscension,Declination,DistFromSunParsec,HostStarMassSlrMass,HostStarRadiusSlrRad,HostStarMetallicity,HostStarTempK,HostStarAgeGyr,ListsPlanetIsOn,RA,DEC,DistFromEarthParsec
247,HD 164595 b,0,0.051,,40.0,0.23,0.08800000000000001,,,,,,,RV,2015.0,15/06/29,18 00 38.89431,+29 34 18.9202,28.93,0.99,,-0.04,5790.0,,Confirmed planets,270.162059625,443.57883416666664,28.92999603856728
248,HD 75289 A b,2,0.42,,3.5098,0.046,0.024,,,,,,,RV,1999.0,12/12/08,08 47 40,-41 44 12,28.94,1.05,1.25,0.29,,,"Confirmed planets, Planets in binary systems, S-type",131.91666666666666,-41.766666666666666,28.939997087279032
249,HD 102195 b,0,0.45,,4.113775,0.049,0.0,,,,,963.1,,RV,2005.0,10/12/21,11 45 42,+02 49 17,28.98,0.9259999999999999,0.835,0.05,5291.0,,Confirmed planets,176.425,42.32083333333333,28.979999613891973
250,HD 219077 b,0,10.39,,5501.0,6.22,0.77,57.61,,,,124.9,,RV,2012.0,12/11/29,23 14 07,-62 42 00,29.0,1.05,1.91,-0.13,5362.0,8.9,Confirmed planets,348.52916666666664,-62.7,28.999995278281894
251,HD 111232 b,0,6.8,,1143.0,1.97,0.2,,,,,163.3,,RV,2004.0,10/12/29,12 48 51,-68 25 30,29.0,0.78,,-0.36,5494.0,,Confirmed planets,192.2125,-68.5,28.999996677779205
252,51 Eri b,2,2.0,1.0,15000.0,14.0,0.21,90.0,,75.0,138.0,700.0,,imaging,2015.0,15/08/14,04 37 36.13234,-02 28 24.7749,29.4,1.75,,-0.027000000000000003,,0.02,"Confirmed planets, Planets in binary systems, S-type",69.40055141666667,-2.5354858333333334,29.399996176754406
253,HD 150433 b,0,0.168,,1096.2,1.9303,0.0,,,,,182.8,,RV,2011.0,11/09/12,16 41 08,-02 51 26,29.6,,,,5940.0,,Confirmed planets,250.28333333333333,-2.9222222222222225,29.599997621254936
254,HD 130322 b,0,1.02,,10.72,0.08800000000000001,0.044000000000000004,,,,76.0,721.7,,RV,1999.0,10/12/08,14 47 33,-00 16 53,30.0,0.79,0.83,-0.02,5330.0,,Confirmed planets,221.8875,-0.41388888888888886,29.999998250147573
255,HD 101930 b,0,0.3,,70.46,0.302,0.11,,,,,385.4,,RV,2005.0,10/12/29,11 43 30,-58 00 24,30.49,0.74,,0.17,5079.0,,Confirmed planets,175.875,-58.06666666666667,30.490000255474467
256,kappa CrB b,0,1.6,,1251.0,2.6,0.073,210.0,,,,,,RV,2007.0,15/11/02,15 51 13.93127,+35 39 26.5671,30.5,1.51,4.71,0.1,4877.0,,Confirmed planets,237.80804695833334,534.86069625,30.500001976688782
257,Gliese 3470 b,0,0.0432,0.34600000000000003,3.3366487,0.031,0.017,1.7,,,88.12,,,transit,2012.0,15/04/29,07 59 06,+15 23 30,30.7,0.51,0.48,0.17,3652.0,,Confirmed planets,119.775,230.875,30.69999985653027
258,HD 89307 b,0,2.0,,2199.0,3.34,0.25,,,,,146.5,,RV,2004.0,12/05/25,10 18 21,+12 37 15,30.9,1.028,1.05,-0.14,5950.0,,Confirmed planets,154.5875,189.3125,30.899997357244953
259,HD 50554 b,0,5.16,,1293.0,2.41,0.5,,,,,173.7,,RV,2002.0,10/12/30,06 54 42,+24 14 44,31.03,1.04,1.11,-0.07,5902.0,,Confirmed planets,103.675,363.68333333333334,31.02999642443912
260,HD 162020 b,0,14.4,,8.428198,0.07400000000000001,0.27699999999999997,,,,,656.4,,RV,2002.0,10/12/29,17 50 38,-40 19 06,31.26,0.75,0.71,0.01,4830.0,,Confirmed planets,267.65833333333336,-40.333333333333336,31.26000344142675
261,iota Draconis b,0,8.82,,510.702,1.275,0.713,,,,69.9,598.2,,RV,2002.0,13/01/26,15 24 55,+58 57 57,31.5,1.4,12.8,0.15,4445.0,,Confirmed planets,231.22916666666666,884.4875,31.50000019768997
262,HD 22781 b,0,13.65,,528.07,1.167,0.8191,,,,,167.0,,RV,2011.0,11/11/04,03 40 50,+31 49 35,31.79,0.75,,-0.37,5027.0,,Confirmed planets,55.208333333333336,477.3958333333333,31.790001098632725
263,HD 157172 b,0,0.12,,104.84,0.41600000000000004,0.46,,,,,347.9,,RV,2011.0,11/09/12,17 22 35,-19 36 58,31.9,,,,5940.0,,Confirmed planets,260.6458333333333,-19.761111111111113,31.899997047210476
264,HD 197037 b,2,0.79,,1035.7,2.07,0.22,298.0,,,,,,RV,2012.0,16/01/22,20 39 32.96014,+42 14 54.7845,32.3,1.11,,-0.2,6150.0,1.9,"Confirmed planets, Planets in binary systems, S-type",309.88733391666665,633.72826875,32.29999867258394
265,HD 21693 b,0,0.0322,,22.656,0.1484,0.26,,,,,581.9,,RV,2011.0,11/09/12,03 27 12,-58 19 25,32.4,,,,5940.0,,Confirmed planets,51.8,-58.38611111111111,32.39999995366448
266,HD 21693 c,0,0.06472,,53.881,0.2644,0.24,,,,,436.2,,RV,2011.0,11/09/12,03 27 12,-58 19 25,32.4,,,,5940.0,,Confirmed planets,51.8,-58.38611111111111,32.39999995366448
267,HD 10697 b,0,6.38,,1076.4,2.16,0.1,,,,69.0,221.8,,RV,2000.0,10/10/19,01 44 55,+20 04 59,32.56,1.15,1.72,0.1,5641.0,,Confirmed planets,26.229166666666668,301.24583333333334,32.560002082489355
268,HD 81040 b,0,6.86,,1001.7,1.94,0.526,,,,,164.2,,RV,2005.0,10/12/23,09 23 47,+20 21 52,32.56,0.96,0.86,-0.16,5700.0,,Confirmed planets,140.94583333333333,305.46666666666664,32.5600032836475
269,HD 45364 b,0,0.1872,,226.93,0.6813,0.1684,,,,,273.1,,RV,2009.0,12/01/31,06 25 38,-31 28 51,32.6,0.82,,-0.17,5434.0,,Confirmed planets,96.40833333333333,-31.60833333333333,32.599997353416974
270,HD 45364 c,0,0.6579,,342.85,0.8972,0.0974,,,,,238.3,,RV,2009.0,12/01/31,06 25 38,-31 28 51,32.6,0.82,,-0.17,5434.0,,Confirmed planets,96.40833333333333,-31.60833333333333,32.599997353416974
271,HD 63765 b,0,0.64,,358.0,0.9490000000000001,0.24,,,,,222.6,,RV,2009.0,11/07/05,07 47 50,-54 15 51,32.6,0.865,,-0.16,5432.0,,Confirmed planets,116.95833333333333,-54.391666666666666,32.6000020174
272,HD 92788 b,0,3.86,,325.81,0.97,0.33399999999999996,,,,8.0,245.9,,RV,2000.0,10/10/19,10 42 48,-02 11 01,32.82,1.13,0.99,0.32,5559.0,,Confirmed planets,160.7,-2.186111111111111,32.82000248376746
273,HD 196885 A b,2,2.98,,1326.0,2.6,0.48,,,,,228.4,,RV,2007.0,12/12/07,20 39 51,+11 14 58,33.0,1.33,1.79,0.29,6340.0,0.5,"Confirmed planets, Planets in binary systems, S-type",309.9625,168.74166666666667,32.99999852217015
274,HD 117207 b,0,2.06,,2627.08,3.78,0.16,,,,,128.4,,RV,2004.0,10/12/31,13 29 21,-35 34 15,33.0,1.07,1.09,0.27,5432.0,,Confirmed planets,202.3375,-35.608333333333334,32.99999929912406
275,HD 37124 c,0,0.652,,885.5,1.71,0.125,,,,,171.1,,RV,2005.0,11/01/07,05 37 02,+20 43 50,33.0,0.83,0.82,-0.442,5610.0,,Confirmed planets,84.25833333333334,310.9583333333333,33.00000408833601
276,HD 37124 d,0,0.696,,1862.0,2.807,0.16,,,,,133.5,,RV,2003.0,11/01/07,05 37 02,+20 43 50,33.0,0.83,0.82,-0.442,5610.0,,Confirmed planets,84.25833333333334,310.9583333333333,33.00000408833601
277,HD 37124 b,0,0.675,,154.378,0.53364,0.054000000000000006,,,,,306.6,,RV,1999.0,11/01/07,05 37 02,+20 43 50,33.0,0.83,0.82,-0.442,5610.0,,Confirmed planets,84.25833333333334,310.9583333333333,33.00000408833601
278,HD 216435 b,0,1.26,,1311.0,2.56,0.07,,,,,224.7,,RV,2002.0,09/10/06,22 53 37,-48 35 53,33.3,1.3,2.0,0.244,5767.0,,Confirmed planets,343.40416666666664,-48.73055555555556,33.29999990179654
279,HD 40979 A b,2,3.28,,263.1,0.83,0.25,,,,,,,RV,2002.0,12/12/08,06 04 29,+44 15 37,33.3,1.1,1.21,0.19399999999999998,,1.0,"Confirmed planets, Planets in binary systems, S-type",91.12083333333334,663.9041666666667,33.30000250346793
280,HD 46375 A b,2,0.249,,3.0239999999999996,0.040999999999999995,0.04,,,,,1132.0,,RV,2000.0,12/12/04,06 33 12,+05 27 46,33.4,0.91,1.0,0.24,5199.0,,"Confirmed planets, Planets in binary systems, S-type",98.3,81.94166666666666,33.39999712700153
281,HD 141937 b,0,9.7,,653.22,1.52,0.41,,,,,215.8,,RV,2002.0,10/12/29,15 52 17,-18 26 09,33.46,1.1,1.06,0.11,5925.0,,Confirmed planets,238.07083333333333,-18.458333333333332,33.460003456000294
282,HD 4208 b,0,0.8,,829.0,1.7,0.04,,,,,173.7,,RV,2001.0,09/10/08,00 44 26,-26 30 56,33.9,0.87,0.85,-0.284,5571.0,,Confirmed planets,11.108333333333333,-26.655555555555555,33.900000026164456
283,HD 85390 b,0,0.132,,788.0,1.52,0.41,,,,,166.3,,RV,2009.0,10/10/06,09 50 02,-49 47 25,33.96,0.76,,-0.07,5186.0,,Confirmed planets,147.50833333333333,-49.852777777777774,33.959995606499426
284,HD 11964 A b,2,0.622,,1945.0,3.16,0.040999999999999995,,,,,,,RV,2005.0,12/12/08,01 57 09,-10 14 32,33.98,1.125,2.18,0.17,,13.1,"Confirmed planets, Planets in binary systems, S-type",29.2875,-10.322222222222221,33.980001599885675
285,HD 11964 A c,2,0.079,,37.91,0.22899999999999998,0.3,,,,,,,RV,2005.0,12/12/08,01 57 09,-10 14 32,33.98,1.125,2.18,0.17,,13.1,"Confirmed planets, Planets in binary systems, S-type",29.2875,-10.322222222222221,33.980001599885675
286,EPIC 201912552 b,0,,0.20600000000000002,32.94488,0.1491,,,,,,272.0,,transit,2015.0,15/07/07,11 30 14.511,+07 35 18.21,34.0,0.413,0.39399999999999996,0.09,3503.0,,Confirmed planets,172.5604625,113.825875,33.99999647548223
287,HD 142415 b,0,1.62,,386.3,1.05,0.5,,,,,250.5,,RV,2003.0,10/12/29,15 57 40,-60 12 00,34.2,1.09,1.03,0.21,5834.0,,Confirmed planets,239.41666666666666,-60.2,34.19999664558841
288,HD 65216 b,0,1.21,,613.1,1.37,0.41,,,,,193.9,,RV,2003.0,10/12/30,07 53 41,-63 38 50,34.3,0.92,,-0.12,5666.0,,Confirmed planets,118.42083333333333,-63.77222222222222,34.30000163981089
289,HD 65216 c,0,2.24,,5542.0,,0.15,,,,,,,RV,2011.0,11/09/13,07 53 41,-63 38 50,34.3,0.92,,-0.12,5666.0,,Confirmed planets,118.42083333333333,-63.77222222222222,34.30000163981089
290,HD 51608 c,0,0.0565,,95.415,0.3791,0.41,,,,,367.1,,RV,2011.0,11/09/12,06 54 51,-55 15 34,34.8,,,,5150.0,,Confirmed planets,103.7125,-55.34444444444444,34.799998263723865
291,HD 51608 b,0,0.0413,,14.07,0.1059,0.15,,,,,701.2,,RV,2011.0,11/09/12,06 54 51,-55 15 34,34.8,,,,5150.0,,Confirmed planets,103.7125,-55.34444444444444,34.799998263723865
292,HD 23079 b,0,2.5,,626.0,1.5,0.02,,,,,223.8,,RV,2001.0,10/12/30,03 39 43,-52 54 57,34.8,1.1,1.13,-0.24,5848.0,,Confirmed planets,54.92916666666667,-53.05833333333333,34.800000221825414
293,HD 114729 A b,2,0.84,,1135.0,2.08,0.32,,,,,,,RV,2002.0,12/12/08,13 12 44,-31 52 24,35.0,0.93,1.46,-0.22,,6.0,"Confirmed planets, Planets in binary systems, S-type",198.18333333333334,-31.933333333333334,34.99999593133929
294,HD 106515 A b,0,9.61,,3630.0,4.59,0.5720000000000001,123.8,,,,,,RV,2011.0,12/11/29,12 15 07,-07 15 26,35.2,0.97,1.62,0.03,,11.7,Confirmed planets,183.77916666666667,-7.322222222222222,35.200000009841425
295,HD 20781 b,2,0.037882,,29.15,0.16899999999999998,0.11,,,,,,,RV,2011.0,16/01/10,03 20 03.57791,-28 51 14.6651,35.49,0.76,,-0.11,5256.0,,"Confirmed planets, Planets in binary systems, S-type",50.01490795833333,-28.89073638888889,35.48999616763722
296,HD 20782 b,2,1.43,,597.065,1.3969999999999998,0.956,142.1,,,,,,RV,2006.0,16/01/10,03 20 03.57791,-28 51 14.6651,35.49,1.02,1.09,0.01,5798.0,5.53,"Confirmed planets, Planets in binary systems, S-type",50.01490795833333,-28.89073638888889,35.48999616763722
297,HD 20781 c,2,0.049649,,85.131,0.3456,0.28,,,,,,,RV,2011.0,16/01/10,03 20 03.57791,-28 51 14.6651,35.49,0.76,,-0.11,5256.0,,"Confirmed planets, Planets in binary systems, S-type",50.01490795833333,-28.89073638888889,35.48999616763722
298,Kepler-444 c,2,,0.045292,4.545884099999999,0.04881,0.12,,,,88.2,,,transit,2015.0,15/07/28,19 19 00.54910,+41 38 04.5682,35.7,0.758,0.752,-0.55,5046.0,11.23,"Confirmed planets, Planets in binary systems, S-type",289.75228791666666,624.5190341666666,35.69999713053884
299,Kepler-444 d,2,,0.048299,6.189392,0.06,0.18,,,,88.16,,,transit,2015.0,15/07/28,19 19 00.54910,+41 38 04.5682,35.7,0.758,0.752,-0.55,5046.0,11.23,"Confirmed planets, Planets in binary systems, S-type",289.75228791666666,624.5190341666666,35.69999713053884
300,Kepler-444 b,2,,0.036726,3.6001053,0.04178,0.08,,,,88.0,,,transit,2015.0,15/07/28,19 19 00.54910,+41 38 04.5682,35.7,0.758,0.752,-0.55,5046.0,11.23,"Confirmed planets, Planets in binary systems, S-type",289.75228791666666,624.5190341666666,35.69999713053884
301,Kepler-444 e,2,,0.049757,7.743492999999999,0.0696,0.02,,,,89.13,,,transit,2015.0,15/07/28,19 19 00.54910,+41 38 04.5682,35.7,0.758,0.752,-0.55,5046.0,11.23,"Confirmed planets, Planets in binary systems, S-type",289.75228791666666,624.5190341666666,35.69999713053884
302,Kepler-444 f,2,,0.06752799999999999,9.740486,0.0811,0.29,,,,87.96,,,transit,2015.0,15/02/01,19 19 00.54910,+41 38 04.5682,35.7,0.758,0.752,-0.55,5046.0,11.23,"Confirmed planets, Planets in binary systems, S-type",289.75228791666666,624.5190341666666,35.69999713053884
303,BD-17 63 b,0,5.1,,655.6,1.34,0.54,112.2,,,,,,RV,2008.0,15/11/17,00 28 34.30654,-16 13 34.8458,35.7,0.74,0.69,-0.03,4714.0,4.3,Confirmed planets,7.142943916666667,-16.313460555555555,35.69999739850247
304,HD 63454 b,0,0.38,,2.8180490000000002,0.036000000000000004,2e-05,,,,,926.7,,RV,2005.0,11/06/01,07 39 21,-78 16 44,35.8,0.8,,0.11,4841.0,,Confirmed planets,114.8375,-78.38888888888889,35.80000080791017
305,HD 142022 A b,2,5.1,,1928.0,3.03,0.53,,,,10.0,112.3,,RV,2005.0,12/12/08,16 10 15,-84 13 53,35.87,0.99,0.705,0.19,5382.0,,"Confirmed planets, Planets in binary systems, S-type",242.5625,-84.3638888888889,35.87000343373972
306,HD 16141 A b,2,0.215,,75.82,0.35,0.28,,,,,410.3,,RV,2000.0,12/12/04,02 35 19,-03 33 38,35.9,1.01,1.0,0.02,5533.0,,"Confirmed planets, Planets in binary systems, S-type",38.829166666666666,-3.6555555555555554,35.89999819894727
307,HD 45652 b,0,0.47,,43.6,0.23,0.38,,,,,472.4,,RV,2008.0,08/10/14,06 29 13,+10 56 02,36.0,0.83,,0.29,5312.0,,Confirmed planets,97.30416666666666,164.00833333333333,35.99999614140411
308,HD 7199 b,0,0.29,,615.0,1.36,0.19,,,,,199.1,,RV,2011.0,11/08/02,01 10 47,-66 11 17,36.0,0.89,0.96,0.28,5386.0,,Confirmed planets,17.695833333333333,-66.23055555555555,35.999998100638365
309,2MASS 0122-2439 B,0,,,,,,,,,,,,imaging,2013.0,15/04/20,01 22 50.938,-24 39 50.65,36.0,0.4,,,,0.12,Confirmed planets,20.712241666666667,-24.790694444444444,35.99999868570674
310,HD 8673 b,2,14.2,,1634.0,3.02,0.723,,,,,194.3,,RV,2010.0,10/06/24,01 26 08,+34 34 46,36.1,1.3119999999999998,1.54,,6413.0,,"Confirmed planets, Planets in binary systems, S-type",21.533333333333335,518.6916666666667,36.10000411580183
311,HD 141399 d,0,1.22,,1070.35,2.1348,0.06,249.16,,,,,,RV,2014.0,14/04/29,15 46 53,+46 59 11,36.17,1.14,1.46,0.18,,,Confirmed planets,236.72083333333333,704.7958333333333,36.169998964541634
312,HD 141399 b,0,0.46,,94.35,0.4225,0.04,191.37,,,,,,RV,2014.0,14/04/29,15 46 53,+46 59 11,36.17,1.14,1.46,0.18,,,Confirmed planets,236.72083333333333,704.7958333333333,36.169998964541634
313,HD 141399 c,0,1.36,,202.08,0.7023,0.05,214.74,,,,,,RV,2014.0,14/04/29,15 46 53,+46 59 11,36.17,1.14,1.46,0.18,,,Confirmed planets,236.72083333333333,704.7958333333333,36.169998964541634
314,HD 141399 e,0,0.69,,3717.35,4.8968,0.0,0.0,,,,,,RV,2014.0,14/04/29,15 46 53,+46 59 11,36.17,1.14,1.46,0.18,,,Confirmed planets,236.72083333333333,704.7958333333333,36.169998964541634
315,HD 169830 c,0,4.04,,2102.0,3.6,0.33,,,,,196.1,,RV,2003.0,10/12/23,18 27 49,-29 49 00,36.32,1.4,1.84,0.21,6300.0,2.3,Confirmed planets,276.95416666666665,-29.816666666666666,36.31999987851996
316,HD 169830 b,0,2.94,,229.9,0.82,0.35,,,,,413.9,,RV,2000.0,14/06/24,18 27 49,-29 49 00,36.32,1.4,1.84,0.21,6300.0,2.3,Confirmed planets,276.95416666666665,-29.816666666666666,36.31999987851996
317,HD 32963 b,0,0.7,,2372.0,3.41,0.07,107.0,,,,,,RV,2015.0,15/12/18,05 07 55.76384,+26 19 40.6623,36.39,0.94,,0.11,5727.0,4.99,Confirmed planets,76.98234933333333,394.91942625,36.38999996091548
318,HD 73256 b,0,1.87,,2.54858,0.037000000000000005,0.028999999999999998,,,,,1204.5,,RV,2003.0,10/12/23,08 36 23,-30 02 15,36.5,1.05,0.89,0.29,5570.0,,Confirmed planets,129.09583333333333,-30.075000000000003,36.499998941642396
319,HD 156279 b,0,9.71,,131.05,0.495,0.708,,,,,327.8,,RV,2011.0,11/11/04,17 12 23,+63 21 08,36.6,0.93,,0.14,5453.0,,Confirmed planets,258.09583333333336,950.2833333333333,36.600000207671904
320,HD 113337 b,0,2.83,,324.0,0.92,0.46,-140.8,,,,,,RV,2013.0,13/10/10,13 01 47,+63 36 37,36.9,1.4,1.5,0.07,,0.15,Confirmed planets,195.44583333333333,954.1541666666667,36.9000023973203
321,HD 12661 b,0,2.3,,263.6,0.83,0.377,,,,,291.4,,RV,2000.0,11/01/04,02 04 34,+25 24 51,37.16,1.07,1.12,0.29,5742.0,,Confirmed planets,31.141666666666666,381.2125,37.15999779946732
322,HD 12661 c,0,1.57,,1708.0,2.56,0.031,,,,,167.5,,RV,2002.0,11/01/04,02 04 34,+25 24 51,37.16,1.07,1.12,0.29,5742.0,,Confirmed planets,31.141666666666666,381.2125,37.15999779946732
323,HD 195019 A b,2,3.7,,18.201629999999998,0.1388,0.013999999999999999,,,,,,,RV,1998.0,12/12/08,20 28 17,+18 46 12,37.36,1.06,1.38,0.08,,,"Confirmed planets, Planets in binary systems, S-type",307.0708333333333,281.55,37.36000123814795
324,HD 168443 b,0,7.659,,58.112469999999995,0.2931,0.52883,,,,,549.0,,RV,1998.0,11/09/26,18 20 04,-09 35 34,37.38,0.995,1.51,0.04,5591.0,,Confirmed planets,275.01666666666665,-9.677777777777779,37.37999940404687
325,HD 168443 c,0,17.192999999999998,,1749.83,2.8373,0.2113,,,,35.7,179.3,,RV,2001.0,11/09/26,18 20 04,-09 35 34,37.38,0.995,1.51,0.04,5591.0,,Confirmed planets,275.01666666666665,-9.677777777777779,37.37999940404687
326,HD 106252 b,0,7.56,,1600.0,2.7,0.47,,,,166.7,158.8,,RV,2002.0,11/01/11,12 13 29,+10 02 29,37.44,0.96,1.09,-0.078,5754.0,,Confirmed planets,183.37083333333334,150.62083333333334,37.44000191301604
327,HD 38283 b,0,0.34,,363.2,1.02,0.41,,,,,309.9,,RV,2011.0,11/04/13,05 37 02,-73 41 58,37.7,1.085,,-0.24,5945.0,,Confirmed planets,84.25833333333334,-73.84444444444445,37.69999993030883
328,HD 47186 c,0,0.35061,,1353.6,2.395,0.249,,,,,161.7,,RV,2008.0,09/01/13,06 36 09,-27 37 20,37.84,0.99,,0.23,5675.0,,Confirmed planets,99.0375,-27.672222222222224,37.8399996913258
329,HD 47186 b,0,0.07167000000000001,,4.0845,0.05,0.038,,,,,1123.6,,RV,2008.0,09/01/13,06 36 09,-27 37 20,37.84,0.99,,0.23,5675.0,,Confirmed planets,99.0375,-27.672222222222224,37.8399996913258
330,eta Cet b,0,2.46,,407.3,1.27,0.17,247.2,,,81.9,,,RV,2014.0,15/12/11,01 08 35.39148,-10 10 56.1570,37.99,1.7,14.3,0.12,4528.0,,Confirmed planets,17.1474645,-10.322658333333333,37.99000039559457
331,eta Cet c,0,3.16,,744.3,1.93,0.02,36.67,,,81.9,,,RV,2014.0,15/12/11,01 08 35.39148,-10 10 56.1570,37.99,1.7,14.3,0.12,4528.0,,Confirmed planets,17.1474645,-10.322658333333333,37.99000039559457
332,HD 164604 b,0,2.7,,606.4,1.13,0.24,,,,,157.4,,RV,2010.0,10/01/26,18 03 07,-28 33 38,38.0,0.8,,-0.18,5150.0,,Confirmed planets,270.77916666666664,-28.655555555555555,37.99999629150558
333,HD 215456 c,0,0.24600000000000002,,2277.0,3.3939999999999997,0.19,,,,,178.5,,RV,2011.0,11/09/12,22 46 08,-48 58 04,38.0,,,,5940.0,,Confirmed planets,341.53333333333336,-48.97777777777778,37.999999158491704
334,HD 215456 b,0,0.10099999999999999,,191.99,0.652,0.15,,,,,407.7,,RV,2011.0,11/09/12,22 46 08,-48 58 04,38.0,,,,5940.0,,Confirmed planets,341.53333333333336,-48.97777777777778,37.999999158491704
335,HAT-P-11 b,0,0.081,0.452,4.887804,0.053,0.198,,,,88.5,790.9,,transit,2009.0,13/05/29,19 50 50,+48 04 51,38.0,0.81,0.75,0.31,4780.0,,Confirmed planets,297.7083333333333,721.2125,37.999999231321155
336,HD 216770 b,0,0.65,,118.45,0.46,0.37,,,,,338.2,,RV,2003.0,10/12/30,22 55 53,-26 39 31,38.0,0.9,1.0,0.23,5248.0,,Confirmed planets,343.97083333333336,-26.73611111111111,38.00000000529795
337,HD 137388 b,0,0.223,,330.0,0.89,0.36,,,,,219.9,,RV,2011.0,11/08/02,15 35 40,-80 12 17,38.0,0.86,0.82,0.18,5240.0,,Confirmed planets,233.91666666666666,-80.24722222222222,38.00000008688991
338,HD 117618.02,0,0.2,,318.0,0.93,0.0,0.0,,,,,,RV,2013.0,15/04/23,13 32 25,-47 16 16,38.0,1.05,1.19,0.04,5861.0,,Controversial,203.10416666666666,-47.31111111111111,38.00000216340275
339,HD 117618 b,0,0.17800000000000002,,25.826999999999998,0.17600000000000002,0.42,,,,,664.2,,RV,2004.0,09/10/06,13 32 25,-47 16 16,38.0,1.05,1.19,0.04,5861.0,,Confirmed planets,203.10416666666666,-47.31111111111111,38.00000216340275
340,mu Leo b,0,2.4,,357.8,1.1,0.09,227.1,,,,,,RV,2014.0,15/11/26,09 52 45.81654,+26 00 25.0319,38.05,1.5,11.4,0.36,4538.2,3.35,Confirmed planets,148.19090225,390.10429958333333,38.04999643965231
341,HD 126525 b,0,0.22399999999999998,,948.12,1.8105,0.13,,,,,185.0,,RV,2011.0,11/09/12,14 27 33,-51 55 59,38.1,,,,5940.0,,Confirmed planets,216.8875,-52.080555555555556,38.100001164445196
342,Gamma Leonis b,2,8.78,,428.5,1.19,0.14400000000000002,206.7,,157.4,172.1,,,RV,2009.0,15/09/22,10 19 58.427,+19 50 28.53,38.5,1.23,31.88,-0.51,4330.0,,"Confirmed planets, Planets in binary systems, S-type",154.99344583333334,297.618875,38.50000160834808
343,HD 108147 b,0,0.261,,10.8985,0.102,0.53,,,,,907.7,,RV,2002.0,09/10/06,12 25 46,-64 01 19,38.57,1.19,1.22,0.18,6067.0,,Confirmed planets,186.44166666666666,-64.06944444444444,38.56999926340626
344,HD 31527 b,0,0.0363,,16.546,0.1253,0.13,,,,,770.9,,RV,2011.0,11/09/12,04 55 38,-23 14 31,38.6,,,,5940.0,,Confirmed planets,73.90833333333333,-23.319444444444446,38.599999905912725
345,HD 31527 c,0,0.0498,,51.284,0.2665,0.11,,,,,528.8,,RV,2011.0,11/09/12,04 55 38,-23 14 31,38.6,,,,5940.0,,Confirmed planets,73.90833333333333,-23.319444444444446,38.599999905912725
346,HD 31527 d,0,0.0519,,274.49,0.8181,0.38,,,,,299.2,,RV,2011.0,11/09/12,04 55 38,-23 14 31,38.6,,,,5940.0,,Confirmed planets,73.90833333333333,-23.319444444444446,38.599999905912725
347,Kepler-42 d,0,,0.0519,1.865,0.0154,,,,,,,,transit,2012.0,12/01/11,19 28 52,+43 37 09,38.7,0.13,0.17,-0.3,,,Confirmed planets,292.21666666666664,654.2875,38.69999675428142
348,Kepler-42 c,0,,0.0665,0.4532,0.006,,,,,,,,transit,2012.0,12/01/11,19 28 52,+43 37 09,38.7,0.13,0.17,-0.3,,,Confirmed planets,292.21666666666664,654.2875,38.69999675428142
349,Kepler-42 b,0,,0.07107999999999999,1.21376,0.0116,,,,,,,,transit,2012.0,12/01/11,19 28 52,+43 37 09,38.7,0.13,0.17,-0.3,,,Confirmed planets,292.21666666666664,654.2875,38.69999675428142
350,HD 7449 c,2,2.0,,4046.0,4.96,0.53,11.0,,,,,,RV,2011.0,16/02/04,01 14 29.32198,-05 02 50.5942,38.9,1.05,1.01,-0.11,6024.0,2.1,"Controversial, Planets in binary systems, S-type",18.622174916666665,-5.1738727777777775,38.90000210319948
351,HD 7449 b,2,1.09,,1270.5,2.33,0.8,-25.2,,,,,,RV,2011.0,16/02/04,01 14 29.32198,-05 02 50.5942,38.9,1.05,1.01,-0.11,6024.0,2.1,"Confirmed planets, Planets in binary systems, S-type",18.622174916666665,-5.1738727777777775,38.90000210319948
352,HD 38529 A c,2,17.7,,2134.76,3.695,0.36,,,,48.3,,,RV,2002.0,12/12/08,05 46 34,+01 10 05,39.28,1.48,2.44,0.27,,,"Confirmed planets, Planets in binary systems, S-type",86.64166666666667,17.520833333333332,39.28000028512672
353,HD 38529 A b,2,0.78,,14.3104,0.131,0.248,,,,57.0,,,RV,2000.0,12/12/08,05 46 34,+01 10 05,39.28,1.48,2.44,0.27,,,"Confirmed planets, Planets in binary systems, S-type",86.64166666666667,17.520833333333332,39.28000028512672
354,HD 10180 i,0,0.00597683,,9.655,0.0904,0.05,,,,,950.0,,RV,2010.0,12/11/10,01 37 54,-60 30 42,39.4,1.06,,0.08,5911.0,,Controversial,24.475,-60.61666666666667,39.39999769525373
355,HD 10180 c,0,0.040894099999999996,,5.75973,0.0641,0.07,,,,,1128.3,,RV,2010.0,12/11/10,01 37 54,-60 30 42,39.4,1.06,,0.08,5911.0,,Confirmed planets,24.475,-60.61666666666667,39.39999769525373
356,HD 10180 d,0,0.03743383,,16.354,0.1284,0.11,,,,,796.3,,RV,2010.0,12/11/10,01 37 54,-60 30 42,39.4,1.06,,0.08,5911.0,,Confirmed planets,24.475,-60.61666666666667,39.39999769525373
