,PlanetIdentifier,TypeFlag,PlanetaryMassJpt,RadiusJpt,PeriodDays,SemiMajorAxisAU,Eccentricity,PeriastronDeg,LongitudeDeg,AscendingNodeDeg,InclinationDeg,SurfaceTempK,AgeGyr,DiscoveryMethod,DiscoveryYear,LastUpdated,RightAscension,Declination,DistFromSunParsec,HostStarMassSlrMass,HostStarRadiusSlrRad,HostStarMetallicity,HostStarTempK,HostStarAgeGyr,ListsPlanetIsOn,RA,DEC,DistFromEarthParsec
1554,Kepler-301 d,0,,0.15947999999999998,13.751242999999999,,,,,,,,,transit,2014.0,14/02/26,18 55 55,+49 13 58,734.49,0.97,0.9,,5815.0,,Confirmed planets,283.9791666666667,738.4916666666667,734.4899984437379
1555,Kepler-363 d,0,,0.18682,11.932125,,,,,,,,,transit,2014.0,14/02/26,18 52 46,+41 18 19,734.62,1.07,1.485,,5593.0,,Confirmed planets,283.19166666666666,619.5791666666667,734.619996617697
1556,Kepler-363 b,0,,0.10570999999999998,3.6145680000000002,,,,,,,,,transit,2014.0,14/02/26,18 52 46,+41 18 19,734.62,1.07,1.485,,5593.0,,Confirmed planets,283.19166666666666,619.5791666666667,734.619996617697
1557,Kepler-363 c,0,,0.15400999999999998,7.542427,,,,,,,,,transit,2014.0,14/02/26,18 52 46,+41 18 19,734.62,1.07,1.485,,5593.0,,Confirmed planets,283.19166666666666,619.5791666666667,734.619996617697
1558,Kepler-295 c,0,,0.10662,21.526258,,,,,,,,,transit,2014.0,14/02/26,19 01 23,+45 22 04,737.84,0.885,0.898,,5603.0,,Confirmed planets,285.34583333333336,680.5166666666667,737.8400014728793
1559,Kepler-295 b,0,,0.11118,12.645164,,,,,,,,,transit,2014.0,14/02/26,19 01 23,+45 22 04,737.84,0.885,0.898,,5603.0,,Confirmed planets,285.34583333333336,680.5166666666667,737.8400014728793
1560,Kepler-295 d,0,,0.12394000000000001,33.884054,,,,,,,,,transit,2014.0,14/02/26,19 01 23,+45 22 04,737.84,0.885,0.898,,5603.0,,Confirmed planets,285.34583333333336,680.5166666666667,737.8400014728793
1561,Kepler-387 b,0,,0.09386,6.7916360000000005,,,,,,,,,transit,2014.0,14/02/26,19 11 11,+45 39 24,738.47,1.13,1.046,,5774.0,,Confirmed planets,287.79583333333335,684.85,738.4700016170353
1562,Kepler-387 c,0,,0.08111,11.837549000000001,,,,,,,,,transit,2014.0,14/02/26,19 11 11,+45 39 24,738.47,1.13,1.046,,5774.0,,Confirmed planets,287.79583333333335,684.85,738.4700016170353
1563,Kepler-157 c,0,,0.20413,13.5405,,,,,,,,,transit,2014.0,14/02/26,19 24 23,+38 52 32,742.16,1.028,1.044,,5774.0,,Confirmed planets,291.09583333333336,583.1333333333333,742.1599991663268
